X_COORD	Y_COORD
142.591629	-10.77950287
142.5735626	-10.82426262
142.5766144	-10.8354435
142.723114	-10.82125187
142.6962891	-10.88979912
142.6246491	-10.72395611
142.7622376	-10.82104492
142.9288025	-10.80788326
142.9836273	-10.79982185
142.6933594	-10.88696003
142.5796051	-10.79875946
142.7727051	-10.90133476
142.6318359	-10.92067909
143.4964447	-11.91147614
143.0896149	-10.77538872
142.5587311	-10.71000767
142.5970459	-10.70428848
142.5978699	-10.70888901
143.953125	-10.68521976
142.5929718	-10.71530914
142.6178436	-10.72830391
142.6233063	-10.7466259
142.60495	-10.73894119
142.6298218	-10.71882725
142.673172	-10.70076275
142.6854401	-10.71178818
142.6918335	-10.71665955
142.7861023	-10.68252754
143.8238068	-10.82510948
142.5526733	-10.83199787
142.6144104	-10.75758648
143.800766	-10.80318642
144.0065918	-10.80548668
143.9960632	-10.82373524
143.7580566	-10.84616756
144.0144959	-10.84487152
143.9845123	-10.86612701
143.3367767	-10.73468304
143.9796143	-10.72316742
145.4583588	-16.20626259
142.7059326	-10.93688488
142.7061615	-10.94753647
142.7663879	-10.99002266
143.2521515	-10.68365002
143.4337463	-10.69710159
143.4663239	-10.69664955
143.1903229	-10.73180485
143.0937347	-10.75188351
143.3717804	-10.75227928
143.324295	-10.75677586
143.4120483	-10.77616978
143.3534088	-10.80583096
143.298172	-10.83911419
143.5209961	-10.69328785
143.3356781	-10.83780289
143.4595795	-10.94054508
143.4037781	-10.84895229
143.2389526	-10.85297012
143.2401581	-10.89503193
143.9647827	-10.73436737
142.8654785	-11.37253571
143.2100067	-10.89760017
143.1778107	-10.90662861
143.2897644	-10.90393257
143.9733429	-10.7404232
143.3828735	-10.90547371
143.3140717	-10.91513443
143.6908569	-10.78934574
143.2959137	-10.93176079
143.2182922	-10.93246841
143.2423401	-10.9469099
143.7166138	-10.77029133
143.8437653	-10.76665306
145.4763184	-16.24609375
143.1570892	-10.9502964
143.1301422	-10.95202541
143.3598328	-10.93915176
143.5106812	-10.90591812
143.3997345	-10.96371174
143.4256134	-10.9675951
143.1255188	-10.98665619
143.9587402	-10.72497368
143.9644928	-10.68788147
143.7870483	-10.70289612
143.9637756	-10.70974445
143.9823456	-10.75539112
143.6065064	-10.74197769
143.7442932	-10.74233627
143.5057221	-10.76967049
143.9754791	-10.77815247
143.9852905	-10.78567314
143.9897919	-10.79434872
144.0089111	-10.83007717
142.565918	-10.72224331
142.5771332	-10.72992325
144.0145264	-10.95084667
143.5114441	-10.94451904
143.998764	-10.83556843
142.6044464	-10.75718403
143.3795319	-10.84018993
143.446228	-10.89760876
143.5537567	-10.93063068
142.7390289	-10.81070328
142.7459564	-10.99333572
143.6293793	-10.97612762
143.7125397	-10.94218445
143.7671814	-11.01291656
143.7783661	-10.98402596
143.9559937	-10.74168205
144.0019226	-10.93507957
144.0340271	-10.91252613
143.9921265	-10.86003113
143.6588135	-10.85639668
143.7111816	-10.85936832
143.7934113	-10.86957836
144.0152435	-10.96391392
144.035202	-10.9968214
143.4700165	-10.80509758
144.0321503	-10.96593094
143.5865784	-10.8515749
143.4672394	-10.88192558
144.0140991	-10.88740253
